query,label,suffix,reasoning_effort,run,expected_web_search,web_search_used,web_search_count,result_id,trace_id,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Housing resources Austin 78745,housing-austin,centraltx,none,1,False,YES,2,f4da575e-8004-4ffc-bc1e-3c1257adc1de,7d7c13b5400e72201526d3439eb72b2a,3,City of Austin Housing Department – Renter Resources & I Belong in Austin Rental Assistance; St. Austin Catholic Parish – Outreach to Persons in Need (Rental & Utility Assistance); Housing Authority of the City of Austin (HACA) – Public & Assisted Housing,4074,18.5,2026-02-12T16:29:42.718081,
Housing resources Austin 78745,housing-austin,centraltx,none,2,False,YES,2,c000ace0-0d05-4ead-a6a8-0f4f53379b70,3980ca94507b42a9209ccd2ad635b90f,5,City of Austin Housing Department – Renter Resources & Rental Assistance (I Belong in Austin); Foundation Communities – Affordable Housing & Housing Navigator; Community First! Village – Permanent Supportive Housing (Mobile Loaves & Fishes); Austin Shelter for Women and Children (ASWC); City of Austin – Emergency Shelter & Homeless Services Navigation (Sunrise Navigation Center & Coordinated Entry Info),5837,20.9,2026-02-12T16:30:08.920536,
Housing resources Austin 78745,housing-austin,centraltx,low,1,False,YES,6,3be5b377-d553-487a-96c8-58486d545c69,9ab3272c6ed6aee47ed4b6f3be8d2642,5,"El Buen Samaritano – Financial & Rental Assistance (Including I Belong in Austin Intake Site); Foundation Communities – Affordable Apartments, Duplexes, and Supportive Housing; City of Austin – I Belong in Austin (IBIA) Rental Assistance Program; Austin Public Health – Neighborhood Services Rent & Utility Assistance Line; Caritas of Austin – Housing Programs (for People Experiencing Homelessness)",6449,48.3,2026-02-12T16:31:02.536424,
Housing resources Austin 78745,housing-austin,centraltx,low,2,False,YES,4,22343ee5-bafe-412d-9969-e11a381d2821,ac42b154fe92dd92de3e867a707c2fcc,6,"Sunrise Hub – Sunrise Homeless Navigation Center; Sunrise Wayfinder Rehousing Program; I Belong in Austin (Emergency Rental Assistance – City of Austin); El Buen Samaritano – Financial & Rental Assistance; City of Austin Emergency Shelters (ARCH, Eighth Street Shelter, Austin Shelter for Women and Children); Caritas of Austin – Housing Services",8384,56.9,2026-02-12T16:32:04.742022,
Employment & Job Training Austin 78701,employment-austin,centraltx,none,1,False,YES,2,f1d87711-6ca2-4225-b880-33f7a06934c8,f8e374acc3fefbaafa0cb6496afdf8da,5,Goodwill Central Texas – Workforce Advancement & Career Services; Goodwill Career & Technical Academy (GCTA); Goodwill Resource Center – Job Help Center (South Austin); Texas Workforce Solutions – Vocational Rehabilitation Services (Austin Region); Workforce Solutions Capital Area – Downtown/Regional Services (Austin),5962,40.0,2026-02-12T16:32:50.024872,
Employment & Job Training Austin 78701,employment-austin,centraltx,none,2,False,YES,2,98287c8c-716f-4597-9570-1096de2824b0,e6027742c3fdbb14c8004c756642462c,4,Goodwill Central Texas – Career Services Enrollment (Serving Central Texas Job Seekers); Austin Community College – Career & Technical Training / Fast Track Careers; Austin Community College – Career Services & Strategies for Today’s Jobs; Skillpoint Alliance – Workforce Training (Austin),4846,21.2,2026-02-12T16:33:16.571272,
Employment & Job Training Austin 78701,employment-austin,centraltx,low,1,False,YES,4,07b4cf24-950e-4c3c-80f5-4c6432a58cb1,ef40fa9b9a7992c19c091ff4557e5b1a,3,Austin Public Library – Central Library Job Help; City of Austin Employment Services Center; Workforce Solutions Capital Area – East Career Center,3635,34.1,2026-02-12T16:33:56.002482,
Employment & Job Training Austin 78701,employment-austin,centraltx,low,2,False,YES,4,305867bc-fefd-460d-8686-96e87fded648,72572f1356914043e9503df9f92fc82c,5,Workforce Solutions Capital Area – East Career Center; Workforce Solutions Capital Area – Metropolis Career Services (Central Texas Food Bank Co-location); Austin Community College Adult Education – Highland Campus; Skillpoint Alliance – Austin Job Training Center; Goodwill Career & Technical Academy (GCTA),6063,45.7,2026-02-12T16:34:46.988272,
Lost IDs Austin TX,lost-ids-austin,centraltx,none,1,False,YES,2,9a788e18-87f5-4c34-8e20-b446bd71fbcd,8e364f4455c86aeb16d567807429db57,5,"Texas Department of Public Safety – Driver License Office (Austin – South, Burleson Road); I Am Here: Vital Document Legal Hotline for Youth (National – serves Texas); 2-1-1 Texas / United Way Helpline – ID and Vital Records Navigation; PATH/ACCESS Homeless Services – Integral Care (ID Support as Part of Case Management); Caritas of Austin – Homelessness Services (via Coordinated Entry)",5522,27.9,2026-02-12T16:35:20.210202,
Lost IDs Austin TX,lost-ids-austin,centraltx,none,2,False,YES,2,e803b7a9-5b0d-4415-92d4-a8ab738ddb3e,34a142c07df019b7e2db2944366f6230,2,Texas Department of Public Safety – Driver License and ID Services; I Am Here: Vital Document Legal Hotline for Youth (National Network for Youth / Baker McKenzie),2945,15.1,2026-02-12T16:35:40.591371,
