query,label,suffix,temperature,reasoning_effort,run,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Housing resources Austin 78745,housing-austin,centraltx,0.0,none,1,0,,0,0.0,2026-02-17T10:09:30.720278,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.0,none,2,0,,0,0.0,2026-02-17T10:09:30.732860,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.0,none,3,0,,0,0.0,2026-02-17T10:09:30.745674,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.3,none,1,0,,0,0.0,2026-02-17T10:09:30.757670,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.3,none,2,0,,0,0.0,2026-02-17T10:09:30.771606,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.3,none,3,0,,0,0.0,2026-02-17T10:09:30.787197,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.6,none,1,0,,0,0.0,2026-02-17T10:09:30.798204,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.6,none,2,0,,0,0.0,2026-02-17T10:09:30.810591,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.6,none,3,0,,0,0.0,2026-02-17T10:09:30.821707,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.9,none,1,0,,0,0.0,2026-02-17T10:09:30.834181,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.9,none,2,0,,0,0.0,2026-02-17T10:09:30.849678,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Housing resources Austin 78745,housing-austin,centraltx,0.9,none,3,0,,0,0.0,2026-02-17T10:09:30.860976,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.0,none,1,0,,0,0.0,2026-02-17T10:09:30.870906,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.0,none,2,0,,0,0.0,2026-02-17T10:09:30.881611,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.0,none,3,0,,0,0.0,2026-02-17T10:09:30.891478,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.3,none,1,0,,0,0.0,2026-02-17T10:09:30.900782,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.3,none,2,0,,0,0.0,2026-02-17T10:09:30.911388,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.3,none,3,0,,0,0.0,2026-02-17T10:09:30.921555,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.6,none,1,0,,0,0.0,2026-02-17T10:09:30.930751,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
Employment & Job Training Austin 78701,employment-austin,centraltx,0.6,none,2,0,,0,0.0,2026-02-17T10:09:30.940506,500 Server Error: Internal Server Error for url: http://localhost:3000/chat/completions
